iter	Passed	Remaining
782	3063	849
783	3066	844
784	3071	841
785	3074	837
786	3078	833
787	3081	829
788	3085	825
789	3089	821
790	3093	817
791	3096	813
792	3100	809
793	3104	805
794	3107	801
795	3111	797
796	3116	793
797	3120	789
798	3124	785
799	3127	781
800	3131	777
801	3135	774
802	3138	769
803	3142	765
804	3145	761
805	3149	758
806	3153	754
807	3157	750
808	3160	746
809	3164	742
810	3168	738
811	3171	734
812	3175	730
813	3178	726
814	3182	722
815	3186	718
816	3189	714
817	3193	710
818	3197	706
819	3200	702
820	3204	698
821	3207	694
822	3211	690
823	3215	686
824	3219	682
825	3223	678
826	3226	674
827	3230	671
828	3234	667
829	3238	663
830	3241	659
831	3245	655
832	3249	651
833	3253	647
834	3256	643
835	3260	639
836	3264	635
837	3267	631
838	3271	627
839	3274	623
840	3278	619
841	3282	615
842	3285	611
843	3289	607
844	3293	604
845	3296	600
846	3300	596
847	3303	592
848	3307	588
849	3311	584
850	3315	580
851	3319	576
852	3322	572
853	3326	568
854	3329	564
855	3333	560
856	3336	556
857	3340	552
858	3344	548
859	3348	545
860	3351	541
861	3354	537
862	3358	533
863	3362	529
864	3365	525
865	3369	521
866	3373	517
867	3377	513
868	3380	509
869	3384	505
870	3388	501
871	3391	497
872	3395	493
873	3399	490
874	3403	486
875	3406	482
876	3410	478
877	3413	474
878	3417	470
879	3421	466
880	3424	462
881	3428	458
882	3432	454
883	3435	450
884	3439	446
885	3443	443
886	3447	439
887	3450	435
888	3454	431
889	3457	427
890	3461	423
891	3465	419
892	3469	415
893	3472	411
894	3476	407
895	3480	404
896	3484	400
897	3488	396
898	3491	392
899	3495	388
900	3500	384
901	3504	380
902	3507	376
903	3512	372
904	3515	369
905	3519	365
906	3523	361
907	3526	357
908	3530	353
909	3534	349
910	3538	345
911	3541	341
912	3546	337
913	3549	333
914	3553	330
915	3556	326
916	3561	322
917	3564	318
918	3568	314
919	3571	310
920	3576	306
921	3579	302
922	3583	298
923	3587	295
924	3591	291
925	3594	287
926	3598	283
927	3601	279
928	3605	275
929	3609	271
930	3613	267
931	3616	263
932	3620	259
933	3624	256
934	3628	252
935	3631	248
936	3636	244
937	3640	240
938	3643	236
939	3647	232
940	3658	229
941	3662	225
942	3666	221
943	3669	217
944	3673	213
945	3677	209
946	3681	206
947	3684	202
948	3688	198
949	3692	194
950	3696	190
951	3700	186
952	3704	182
953	3708	178
954	3712	174
955	3716	171
956	3721	167
957	3724	163
958	3728	159
959	3732	155
960	3737	151
961	3741	147
962	3745	143
963	3749	140
964	3753	136
965	3757	132
966	3761	128
967	3764	124
968	3768	120
969	3772	116
970	3776	112
971	3780	108
972	3784	105
973	3788	101
974	3791	97
975	3795	93
976	3799	89
977	3802	85
978	3806	81
979	3809	77
980	3813	73
981	3817	69
982	3822	66
983	3826	62
984	3830	58
985	3834	54
986	3838	50
987	3842	46
988	3846	42
989	3850	38
990	3853	35
991	3858	31
992	3861	27
993	3872	23
994	3876	19
995	3881	15
996	3885	11
997	3889	7
998	3893	3
999	3898	0
